ら戳,程蔼放,程放
2018/4/14,33,26
2018/4/15,33,27
2018/4/16,33,26
2018/4/17,33,26
2018/4/18,33,26
2018/4/19,33,26
2018/4/20,33,26
2018/4/21,33,26
2018/4/22,34,26
2018/4/23,33,27
2018/4/24,33,26
2018/4/25,32,26
2018/4/26,30,26
2018/4/27,31,25
2018/4/28,32,26
2018/4/29,32,26
2018/4/30,32,26
2018/5/1,32,26
2018/5/2,32,26
2018/5/3,32,26
2018/5/4,32,25
2018/5/5,31,26
2018/5/6,31,26
2018/5/7,32,26
2018/5/8,32,26
2018/5/9,32,26
2018/5/10,33,26
2018/5/11,32,26
2018/5/12,32,26
2018/5/13,32,24
2018/5/14,33,26
2018/5/15,32,26
2018/5/16,32,25
2018/5/17,32,25
2018/5/18,32,26
2018/5/19,32,26
2018/5/20,32,26
2018/5/21,32,26
2018/5/22,32,26
2018/5/23,32,25
2018/5/24,31,24
2018/5/25,32,25
2018/5/26,30,26
2018/5/27,32,26
2018/5/28,32,26
2018/5/29,31,25
2018/5/30,32,26
2018/5/31,32,26
2018/6/1,31,25
2018/6/2,32,26
2018/6/3,32,26
2018/6/4,31,26
2018/6/5,32,25
2018/6/6,32,26
2018/6/7,32,27
2018/6/8,31,26
2018/6/9,31,26
2018/6/10,31,26
2018/6/11,32,26
2018/6/12,31,25
2018/6/13,32,26
2018/6/14,32,27
2018/6/15,32,27
2018/6/16,31,26
2018/6/17,31,26
2018/6/18,29,26
2018/6/19,29,26
2018/6/20,29,26
2018/6/21,31,25
2018/6/22,32,26
2018/6/23,31,27
2018/6/24,31,26
2018/6/25,32,26
2018/6/26,31,26
2018/6/27,30,26
2018/6/28,30,25
2018/6/29,31,25
2018/6/30,30,25
2018/7/1,31,26
2018/7/2,30,26
2018/7/3,31,26
2018/7/4,31,26
2018/7/5,30,26
2018/7/6,30,26
2018/7/7,31,26
2018/7/8,30,26
2018/7/9,30,26
2018/7/10,29,27
2018/7/11,30,27
2018/7/12,31,27
2018/7/13,30,26
2018/7/14,30,26
2018/7/15,32,26
2018/7/16,32,26
2018/7/17,30,27
2018/7/18,30,27
2018/7/19,31,27
2018/7/20,32,28
2018/7/21,32,28
2018/7/22,32,27
2018/7/23,32,27
2018/7/24,32,28
2018/7/25,32,28
2018/7/26,33,27
2018/7/27,33,27
2018/7/28,30,27
2018/7/29,31,27
2018/7/30,31,27
2018/7/31,31,27
2018/8/1,32,27
2018/8/2,32,27
2018/8/3,32,28
2018/8/4,32,28
2018/8/5,32,28
2018/8/6,31,27
2018/8/7,31,27
2018/8/8,30,27
2018/8/9,30,27
2018/8/10,30,27
2018/8/11,32,28
2018/8/12,31,28
2018/8/13,32,28
2018/8/14,31,27
2018/8/15,32,27
2018/8/16,32,28
2018/8/17,31,27
2018/8/18,30,27
2018/8/19,31,26
2018/8/20,31,26
2018/8/21,30,27
2018/8/22,30,26
2018/8/23,30,24
2018/8/24,31,26
2018/8/25,31,27
2018/8/26,31,26
2018/8/27,31,26
2018/8/28,31,26
2018/8/29,32,26
2018/8/30,31,26
2018/8/31,32,26
2018/9/1,32,26
2018/9/2,31,27
2018/9/3,30,26
2018/9/4,30,26
2018/9/5,31,26
2018/9/6,31,26
2018/9/7,31,27
2018/9/8,30,26
2018/9/9,30,26
2018/9/10,30,26
2018/9/11,31,27
2018/9/12,31,26
2018/9/13,30,26
2018/9/14,31,26
2018/9/15,30,26
2018/9/16,30,27
2018/9/17,29,26
2018/9/18,30,25
2018/9/19,30,25
2018/9/20,31,26
2018/9/21,32,26
2018/9/22,30,25
2018/9/23,30,25
2018/9/24,31,25
2018/9/25,30,25
2018/9/26,30,25
2018/9/27,31,26
2018/9/28,31,26
2018/9/29,32,26
2018/9/30,32,25
2018/10/1,32,26
2018/10/2,31,26
2018/10/3,32,26
2018/10/4,32,26
2018/10/5,30,26
2018/10/6,30,25
2018/10/7,32,26
2018/10/8,32,26
2018/10/9,32,26
2018/10/10,32,25
2018/10/11,32,26
2018/10/12,31,25
2018/10/13,31,26
2018/10/14,32,25
2018/10/15,31,25
2018/10/16,31,26
2018/10/17,30,26
2018/10/18,30,25
2018/10/19,30,26
2018/10/20,32,25
2018/10/21,30,25
2018/10/22,31,26
2018/10/23,32,26
2018/10/24,31,25
2018/10/25,31,24
2018/10/26,31,25
2018/10/27,32,25
2018/10/28,32,25
2018/10/29,32,25
2018/10/30,32,25
2018/10/31,32,25
2018/11/1,33,25
2018/11/2,33,26
2018/11/3,32,25
2018/11/4,30,25
2018/11/5,32,25
2018/11/6,32,25
2018/11/7,32,26
2018/11/8,29,25
2018/11/9,30,26
2018/11/10,31,26
2018/11/11,31,26
2018/11/12,32,26
2018/11/13,32,26
2018/11/14,32,25
2018/11/15,31,25
2018/11/16,31,26
2018/11/17,30,25
2018/11/18,32,26
2018/11/19,32,26
2018/11/20,32,25
2018/11/21,29,26
2018/11/22,29,26
2018/11/23,30,27
2018/11/24,29,27
2018/11/25,30,28
2018/11/26,30,27
2018/11/27,29,27
2018/11/28,30,27
2018/11/29,30,27
2018/11/30,30,27
2018/12/1,29,27
2018/12/2,30,26
2018/12/3,30,27
2018/12/4,29,27
2018/12/5,31,27
2018/12/6,30,27
2018/12/7,29,27
2018/12/8,29,27
2018/12/9,29,27
2018/12/10,29,27
2018/12/11,29,26
2018/12/12,30,27
2018/12/13,30,27
2018/12/14,29,27
2018/12/15,29,26
2018/12/16,27,26
2018/12/17,28,26
2018/12/18,28,27
2018/12/19,28,27
2018/12/20,28,27
2018/12/21,29,26
2018/12/22,28,26
2018/12/23,28,26
2018/12/24,29,27
2018/12/25,29,26
2018/12/26,29,27
2018/12/27,28,27
2018/12/28,28,26
2018/12/29,28,26
2018/12/30,29,26
2018/12/31,29,26
